( 11–12 February 1778) as if to add insult to injury, Leopold received Mozart's letter telling him that he had not yet finished his commissions for the Dutchman :	( 11–12 February 1778) as if to further a loss with mockery, Leopold received Mozart's letter telling him that he had not yet finished his commissions for the Dutchman :
"1.26 Some of the risks have been taken out of the system of "" once and for all "" compensation by s32A of the Supreme Court Act 1981 (Appendix B) and the corresponding s51 of the County Courts Act 1984."	"1.26 Some of the risks have been taken out of the system of "" conclusively "" compensation by s32A of the Supreme Court Act 1981 (Appendix B) and the corresponding s51 of the County Courts Act 1984."
130 mph chef in the soup	130 mph chef in trouble
1,400 ready to become priests as they win a historic vote FOURTEEN hundred women who want to be Anglican priests got the green light yesterday when the church's ruling body voted for women to be ordained.	1,400 ready to become priests as they win a historic vote FOURTEEN hundred women who want to be Anglican priests got the permission yesterday when the church's ruling body voted for women to be ordained.
( 149) How could he exert authority over them — make them toe the line, as he had to — if he knuckled under …	( 149) How could he exert authority over them — make them abide by the rules, as he had to — if he knuckled under …
16) of the evacuation of Attica that the Athenians took it so badly because it was like leaving one's polis; this is on the face of it a paradox because they were going from their country demes to the polis.	16) of the evacuation of Attica that the Athenians took it so badly because it was like leaving one's polis; this is at first glance a paradox because they were going from their country demes to the polis.
1931–1992 going from strength to strength	1931–1992 getting stronger
2109 and 2113 had been war casualties and written off, five standard Felthams scrapped at Purley depôt as already described and in November 1950, while the move was in progress, Nos . 2144 and 2162 caught fire and were burned out.	2109 and 2113 had been war casualties and written off, five standard Felthams scrapped at Purley depôt as already described and in November 1950, while the move was in progress, Nos . 2144 and 2162 became engulfed in flames and were burned out.
27 constituent bodies are taking the to the roads with their Roadshows, each sponsored by nationally known organisations and with the RFU itself picking up the tab in Leicestershire, Northumberland and Somerset.	27 constituent bodies are taking the to the roads with their Roadshows, each sponsored by nationally known organisations and with the RFU itself accepting the bill and pay it in Leicestershire, Northumberland and Somerset.
3) I wasn't talking about you, but in any case it bothers me when people come in talking about design and all that and they don't have any work of their own to bring to the table.	3) I wasn't talking about you, but in any case it bothers me when people come in talking about design and all that and they don't have any work of their own to contribute.
3) Pushing the envelope.	3) going beyond established limits.
42,000 tons of rubble fail to make a splash	42,000 tons of rubble fail to attract attention
4) Is the Mercury poster, for which the small print invites one to send away a fiver, washable?	4) Is the Mercury poster, for which the fine print invites one to send away a fiver, washable?
4 of the escaped prisoners were recaptured in Gloucester city centre within half an hour; 2 others are still on the run.	4 of the escaped prisoners were recaptured in Gloucester city centre within half an hour; 2 others are still fleeing.
4 wins on the trot will put us on course.	4 wins in a row will put us on course.
4 wins on the trot will put us on course.	4 wins in succession will put us on course.
5 EXPERTS Expert opinion can carry a lot of weight and add credibility to your campaign.	5 EXPERTS Expert opinion can be important and add credibility to your campaign.
6 clean sheets on the trot (although some of those were cup games).	6 clean sheets in a row (although some of those were cup games).
6 clean sheets on the trot ( although some of those were cup games ) .	6 clean sheets in succession ( although some of those were cup games ) .
6 clean sheets on the trot (although some of those were cup games).	6 clean sheets in succession (although some of those were cup games).
75 ( 1 ) The Limitation Acts shall apply to registered land in the same manner and to the same extent as those Acts apply to land not registered , except that where , if the land were not registered , the estate of the person registered as proprietor would be extinguished , such estate shall not be extinguished but shall be deemed to be held by the proprietor for the time being in trust for the person who , by virtue of the said Acts , has acquired title against any proprietor , but without prejudice to the estates and interests of any other person interested in the land whose estate or interest is not extinguished by those Acts .	75 ( 1 ) The Limitation Acts shall apply to registered land in the same manner and to the same extent as those Acts apply to land not registered , except that where , if the land were not registered , the estate of the person registered as proprietor would be extinguished , such estate shall not be extinguished but shall be deemed to be held by the proprietor for the present in trust for the person who , by virtue of the said Acts , has acquired title against any proprietor , but without prejudice to the estates and interests of any other person interested in the land whose estate or interest is not extinguished by those Acts .
7 weeks ago on December 5th, he walked free.	7 weeks ago on December 5th, he went unpunished.
A 26-YEAR - OLD Keady man walked free from court yesterday after being cleared of fracturing a man's skull in a pub brawl.	A 26-YEAR - OLD Keady man went unpunished from court yesterday after being cleared of fracturing a man's skull in a pub brawl.
A 30-strong team has worked around the clock since midnight on Saturday to build the stage and seating area for the hall in readiness for the sell - out performance, which starts at 7.30pm this evening.	A 30-strong team has worked all the time since midnight on Saturday to build the stage and seating area for the hall in readiness for the sell - out performance, which starts at 7.30pm this evening.
A 30-strong team has worked around the clock since midnight on Saturday to build the stage and seating area for the hall in readiness for the sell - out performance, which starts at 7.30pm this evening.	A 30-strong team has worked constantly since midnight on Saturday to build the stage and seating area for the hall in readiness for the sell - out performance, which starts at 7.30pm this evening.
A 68 put Ballesteros safely through to the last two days but a distressed Olazabal, despite a 69, faced an anxious wait to see if he would make the cut.	A 68 put Ballesteros safely through to the last two days but a distressed Olazabal, despite a 69, faced an anxious wait to see if he would succeed out of a group of candidates.
A and the, the justification for doing this would be that in the long term we will need the coal therefore it's ne it's necessary to keep er a viable coal industry going.	A and the, the justification for doing this would be that eventually we will need the coal therefore it's ne it's necessary to keep er a viable coal industry going.
A and the, the justification for doing this would be that in the long term we will need the coal therefore it's ne it's necessary to keep er a viable coal industry going.	A and the, the justification for doing this would be that over a long period of time we will need the coal therefore it's ne it's necessary to keep er a viable coal industry going.
Aaron, Aaron you drive me round the bend?	Aaron, Aaron you drive me crazy?
a a sailing vessel was duck soup.	a a sailing vessel was an easy task.
A Babycham survey revealed that 83% of men favour women making the first move in relationships.	A Babycham survey revealed that 83% of men favour women initiating things in relationships.
Abel plays with his overwhelming sound system ; on bounces a heavily tampered cover of ' Dancing Queen ' , cut intermittently with a Scottish rap .	Abel plays with his overwhelming sound system ; one after another a heavily tampered cover of ' Dancing Queen ' , cut intermittently with a Scottish rap .
Aberdeen first off tonight at seven thirty, Celtic half an hour later in Lisbon.	Aberdeen before anything else tonight at seven thirty, Celtic half an hour later in Lisbon.
A better course of action may be to enrol on a puppy socialisation class, they are usually relatively inexpensive and in the hands of a good instructor your puppy will experience other puppies of a similar age, everyone in the same boat as it were!	A better course of action may be to enrol on a puppy socialisation class, they are usually relatively inexpensive and in the hands of a good instructor your puppy will experience other puppies of a similar age, everyone in the same situation as it were!
A big peak was out of the question; it was a little too late, a little too wet and miserable.	A big peak was not remotely possible; it was a little too late, a little too wet and miserable.
A bit hot under the collar.	A bit angry and agitated.
A bit of an unknown quantity now, their most crucial result in the qualifiers was the goalless draw with the Soviet Union in Vienna.	A bit of an person whose nature is a mystery now, their most crucial result in the qualifiers was the goalless draw with the Soviet Union in Vienna.
A bit rough and ready and with a highly incorrect attitude to women , but amusing , in a raw kind of way ; a man 's man .	A bit crude and effective and with a highly incorrect attitude to women , but amusing , in a raw kind of way ; a man 's man .
A bit too frail and woolly for the rough and tumble of ordinary practice.	A bit too frail and woolly for the rough activity of ordinary practice.
Abolishing the Wages Councils would be a green light to sweatshops, a direct attack on the lowest paid.	Abolishing the Wages Councils would be a permission to sweatshops, a direct attack on the lowest paid.
A bottom drain is something which has stood the test of time too.	A bottom drain is something which has last a long time too.
About Amy he had drawn a complete blank .	About Amy he couldn't remember anything .
‘ About par for the course.’	‘ About expected
Above all, Brian Summers delighted in rubbing shoulders with some of the world's best golfers, and his big day was the pro - am, which usually takes place the day before the tournament proper.	Above all, Brian Summers delighted in socializing with some of the world's best golfers, and his big day was the pro - am, which usually takes place the day before the tournament proper.
Above all, it will reduce tit - for - tat politics and introduce much greater stability into government, allowing individuals and businesses alike to plan for their future with confidence.	Above all, it will reduce equivalent retribution politics and introduce much greater stability into government, allowing individuals and businesses alike to plan for their future with confidence.
Above all the aeroplane — in its infancy in 1914 - 18- threatened to transform the nature of warfare, eliminating once and for all the distinction between soldiers and civilians.	Above all the aeroplane — in its infancy in 1914 - 18- threatened to transform the nature of warfare, eliminating conclusively the distinction between soldiers and civilians.
Above all, the belligerent youthfulness of his writings struck a chord in the hearts of student militants.	Above all, the belligerent youthfulness of his writings elicited a significant reaction in the hearts of student militants.
Above: Boys will be boys.	Above: it is hard to attempt to curb the natural playfulness and tendency to mischief of most growing boys.
A box set would be brilliant - there are loads of tracks in the archives that have never seen the light of day - does Jobbo have these somewhere or do virgin?	A box set would be brilliant - there are loads of tracks in the archives that have never achieved a new understanding of day - does Jobbo have these somewhere or do virgin?
Abreu's strategies appear to rule out such renegotiation possibilities — an agreement is made once and for all and can never be reopened.	Abreu's strategies appear to rule out such renegotiation possibilities — an agreement is made conclusively and can never be reopened.
A bright young thing, but unconnected.	A person who is youthful, clever, eager, and high-spirited in manner and attractive in appearance, but unconnected.
‘ Absolutely out of the question.’	‘ Absolutely not remotely possible
absolutely over the moon with this job!	absolutely delighted with this job!
‘ Absolutely, warts and all; that's what makes it good fun.	‘ Absolutely, full range of characteristics including shortcomings; that's what makes it good fun.
Absolutely went spare you know!	Absolutely became very angry you know!
Absurdly, she felt jealous of Student Cross as of some unknown quantity, some hidden source of fascination, whose attraction she could neither understand nor compete with.	Absurdly, she felt jealous of Student Cross as of some person whose nature is a mystery, some hidden source of fascination, whose attraction she could neither understand nor compete with.
A burglar is inspecting a window with a view to breaking and entering, but in order to make his interest look innocent he pretends to be cleaning the windows.	A burglar is inspecting a window with the intention to breaking and entering, but in order to make his interest look innocent he pretends to be cleaning the windows.
A BUSKER who stole 32 credit cards from the son of crooked Robert Maxwell is on the run from police, a court heard yesterday.	A BUSKER who stole 32 credit cards from the son of crooked Robert Maxwell is fleeing from police, a court heard yesterday.
Academic opinion was divided as to the merits of the house; and Lady Birk, the minister involved, was constantly to refer to ‘ other voices’ who whispered behind closed doors that the house was not worth saving.	Academic opinion was divided as to the merits of the house; and Lady Birk, the minister involved, was constantly to refer to ‘ other voices’ who whispered in private that the house was not worth saving.
Academic opinion was divided as to the merits of the house; and Lady Birk, the minister involved, was constantly to refer to ‘ other voices’ who whispered behind closed doors that the house was not worth saving.	Academic opinion was divided as to the merits of the house; and Lady Birk, the minister involved, was constantly to refer to ‘ other voices’ who whispered secretly that the house was not worth saving.
A case of crying wolf too often.	A case of raising a false alarm too often.
